TFIIA10 TFIIA20 TFIIA25 TFIIA30 TFIIA40 TFIIA60 TFIIA90 TFIIA120
chrI_59_383 0 0.0056015235840269 0.0257853729875493 0.0971371810951316 0.160231741657519 0.326451688568639 0.626057535623744 0.808990358224219
chrI_473_670 0 0.00606164131957849 0.0279383249176802 0.110004312934752 0.181497004864056 0.379164706432536 0.759258222077799 0.90279268055213
chrI_1129_1304 0 0.00981101520570074 0.0458404201610722 0.153548170241033 0.27738880106952 0.470791803028545 0.820162212290283 1.09109088804668
chrI_11129_11393 0 0.00358084031478306 0.0279664706320724 0.0682117723343922 0.110380868749658 0.23781074152764 0.67564947818532 0.485095071365557
chrI_24669_25112 0 0.00516613599938492 0.0224265088365296 0.0735507172072227 0.151554684870562 0.28319418215711 0.57352954025512 0.643938219487036
chrI_30663_31779 0 0.00367158301821439 0.0262827066830197 0.0579210435071572 0.114018838136659 0.229842484286605 0.618813612111757 0.664782913234168
chrI_32453_33518 0 0.00410558366083538 0.0192002730391896 0.0575009112222326 0.08861600232337 0.196360388052466 0.498963670216146 0.558611480298904
chrI_34252_35438 0 0.00255643961239691 0.0160621212116283 0.0438414635633923 0.0976264062300032 0.196732100225194 0.703879981035311 0.637695706470168
chrI_37295_37494 0 0.00527115798505545 0.0301660317204626 0.078216983076986 0.176567951130484 0.317114859449523 0.689048946892554 0.827446856180962
chrI_39073_39377 0 0.00412631198498488 0.0217444118416946 0.075957277640849 0.1388498746328 0.263588427276946 0.601723809346564 0.51355509095204
chrI_44931_45375 0 0.00347523478733502 0.0190171037741829 0.0469390672431957 0.102585931588747 0.199167889669469 0.42058764425082 0.417379323847037
chrI_45530_46038 0 0.0026058577037231 0.0197242472894641 0.0417864619182103 0.0833231928040118 0.192152698038569 0.411939603821847 0.433981738972271
chrI_48393_48545 0 0.00476295439045985 0.0276913226506352 0.0706438142451387 0.122239105887129 0.261422937283713 0.574435073534198 0.617215628428821
chrI_54722_54967 0 0.00635800925342408 0.0247619451992936 0.0713284245820532 0.135004321237169 0.24159160505845 0.558614192065745 0.615670328377258
chrI_56814_57094 0 0.00514568218780276 0.0288706770725604 0.0844592135230507 0.174332331790258 0.28972440686019 0.550195099271523 0.836873530785463
chrI_57204_57772 0 0.00480320470925247 0.0225331341267056 0.0729692071532892 0.149218862758702 0.27162017582378 0.673147221831916 0.838209692499653
chrI_58171_58687 0 0.00385735879552378 0.0200395425458688 0.0586712552701708 0.110626269684906 0.224673794823501 0.540448438299915 0.731525867189006
