TFIIB10 TFIIB20 TFIIB25 TFIIB30 TFIIB40 TFIIB60 TFIIB90 TFIIB120
chrI_9070_9404 0.00179325590280813 0.0202199778980741 0.102160042087503 0.159552367165896 0.249442100915108 0.657655768406505 0.824416023518911 0.809714725524494
chrI_11150_11437 0.00179544827278549 0.0156085827698371 0.101917054164327 0.203014894544369 0.166552783557798 0.410851845609506 0.672658045254281 0.481409347581784
chrI_23873_24419 0.00378765625648221 0.0193585377425694 0.0871829292099427 0.230202397428261 0.469563477771129 0.354249189014986 0.599074291368585 1.02659723781786
chrI_24678_25052 0.00516812916680618 0.0172033302250903 0.16840043008562 0.190284309379834 0.199412302284508 0.949505000624803 1.17978615235039 0.502675358442657
chrI_30727_31783 0.00154924619643973 0.0178570320739593 0.10159898807314 0.192384754372279 0.321717062901449 0.805368342262942 0.948766105149872 1.05596736574683
chrI_32591_33448 0.00199195420153026 0.0247702770769792 0.138580849234314 0.201243388029214 0.194223634075996 0.942932232411792 0.823879045736107 1.10284344558171
chrI_34639_35245 0.00215199112142625 0.0128096660517241 0.091981788549609 0.147320140770648 0.246507781224715 0.467733459665497 0.71246229900693 0.773710583513997
chrI_36362_36584 0.00329445539930048 0.0169752398959109 0.0771142068966272 0.244484367603818 0.293994251386385 0.63632186116234 1.13452783082961 0.635953979059218
chrI_39089_39341 0.00226951371951811 0.0184972418483768 0.0851932350953576 0.155377858291462 0.220528110932784 0.684769226784566 0.870177507733995 1.07530065138063
chrI_44935_45332 0.000909212730177473 0.0193506648615121 0.131292040508127 0.264513769946139 0.310220539955965 1.10697322117362 2.24139293030344 1.55691044867068
chrI_45632_45894 0.00090410766150719 0.0162523570701768 0.0582575797335494 0.18233527239788 0.277737910426397 0.64085069338051 0.679873287730731 0.636786736293859
chrI_48412_48635 0.00294996839719949 0.0173145278773727 0.118652681526418 0.0633274696233853 0.357316723063115 1.33973942678427 0.972032891311827 0.82799328406577
chrI_57262_57631 0.00195737298892127 0.0174822581965911 0.0870204475220506 0.234978552444994 0.310628945561865 0.498737241349248 0.753160669306802 0.933213056146261
chrI_58333_58652 0.00280366203968968 0.0155395741530703 0.120002669390748 0.197680519285057 0.292722316258574 0.764256070094899 0.921987294157097 0.811375462994241
chrI_60962_61386 0.00218477531285237 0.0135482759088109 0.0930264993639155 0.104763089578475 0.186096547017284 0.609104759050887 0.940370107720188 0.537438551149516
chrI_62651_62922 0.00285690437385196 0.0154702959558128 0.165820833421957 0.243055116046148 0.202964438355541 0.961508615343775 1.66652221938573 1.50265447848973
chrI_67683_68144 0.00127395560274246 0.0190273226114101 0.103274348887066 0.198454705624751 0.276764849277477 0.679522274495061 0.987016182028997 0.752791571828092
chrI_69484_69755 0.00165798143053767 0.0187372392062672 0.130225879181181 0.22667414754912 0.204082140984757 0.477125024558806 1.27860502114239 0.437347895752529
chrI_71391_71939 0.000825743833479065 0.0174097638365346 0.101476468191329 0.22247449240395 0.331429096039398 0.45776528971946 0.676279738023302 0.478178358624372
chrI_76064_76544 0.00138122890126806 0.0121722756480886 0.0640659836259894 0.136789747436081 0.178172203510946 0.374129435269347 0.704283274907015 0.515454552170307
chrI_82480_82789 0.00304159827541445 0.01800525449768 0.0778550300904393 0.0845812747400878 0.261172341868223 0.696652195544516 0.932805953541607 1.23806387151014
chrI_84371_84626 0.00230281076475728 0.0201133017556862 0.0999623184734063 0.193628245939694 0.223209161455714 0.509010383311572 0.629503733840448 0.256039409842675
chrI_86978_87323 0.00187511344927395 0.0162194612863908 0.13426177191817 0.161754739188503 0.276068977886021 0.544951449981045 0.955029272845317 0.750978619188403
chrI_92393_92644 0.00372297860323366 0.0224396291646626 0.105753201402155 0.292964317184664 0.350205127727706 0.722686974794437 0.939056634965158 1.48372824454481
chrI_101052_101320 0.0024051269177694 0.0138411489170639 0.0642589597100225 0.118479790181508 0.162300470647524 0.450933151839052 0.577392060746748 0.794162622216434
chrI_105863_106067 0.00337617873358305 0.0201338748949049 0.133860624426983 0.0993069672980283 0.230920197127578 0.456244364076478 0.703323787140023 0.629009274804505
chrI_108505_108838 0.00140984919922241 0.0125339756571776 0.0685765134415318 0.0714644700630213 0.23141302115411 0.405243935396754 0.58822609576299 0.833984953373645
chrI_113327_113607 0.002122087694734 0.0115680806389976 0.128218910436239 0.131839071983816 0.214271176621877 0.830929114450188 0.686472397536416 1.06346957582215
chrI_114540_114883 0.00319972813313631 0.0132416153872669 0.124781428597543 0.101993393304503 0.236432972690134 0.408735628880784 0.957784368974265 0.720001701474152
chrI_119769_119989 0.00256940618655665 0.0169306071913751 0.0900421149146247 0.177054270542949 0.194775846433686 1.06755790934364 0.901759402666156 1.75511132584447
chrI_124624_124924 0.0017323367976464 0.016389022441289 0.08975778411606 0.111680843041738 0.15636670569878 0.384262528109379 0.858652843984335 0.68544403553385
chrI_128961_129332 0.00278501830129048 0.0121101808524179 0.0618972978803801 0.119606552264101 0.173112944248485 0.384561264186279 0.871067791472713 0.525786003485406
chrI_130531_130865 0.00152136961771476 0.0131027385211611 0.0934469537740755 0.153215229399256 0.169446183542222 0.245756225057589 0.506120008041725 0.531383668037352
chrI_132078_132290 0.00526941603569114 0.0216570201467709 0.1774906516805 0.169157264523898 0.461294745100147 1.03113723179016 1.28462670884008 1.48614179191292
chrI_135638_135924 0.00239630128632398 0.0168408572782495 0.0932888914785986 0.18620323840281 0.290519947660748 0.58182609472748 0.6434565942257 0.881279820592502
chrI_138300_138659 0.0027877321417369 0.0195670025306966 0.101495357454625 0.155677665708606 0.280855969277018 0.41963662315721 1.08345878109706 0.80227730051353
chrI_141285_142341 0.00200445184469583 0.0210838178015906 0.1197142361563 0.200338840256851 0.273896697623415 0.587573979826099 0.864386481953139 0.869277675993568
chrI_143471_143727 0.00185473496922035 0.019326736366397 0.0713140498672276 0.157353755527332 0.501652276836859 0.793388641377781 0.930616897271788 0.969642655137663
chrI_151104_151313 0.00775671270521631 0.0271768238376085 0.188480019001962 0.207920416102843 0.503433377263106 0.912258533285144 1.17001890214466 1.30020441703432
chrI_152055_152319 0.00169199046601695 0.0149793358650795 0.0711078055682226 0.228101191466046 0.266120316763093 0.390367167702755 0.899342726578635 0.604058807638027
chrI_154650_154987 0.00192885022606257 0.0183578636012942 0.106097567865182 0.182678038407232 0.177862512680754 0.46234386831748 0.856335929191075 0.850931643925277
chrI_158575_158950 0.0024564839696011 0.0159024488242272 0.143722011435129 0.264099720684584 0.233834102025504 0.426248030993748 0.575215645717187 0.518597486804087
chrI_160249_161165 0.00544723606876151 0.0294975696754478 0.142774664511818 0.306665869125454 0.469957606469115 0.829441766995291 0.832418030056562 0.714631286774707
chrI_161560_161818 0.0124155750538344 0.0430234920356387 0.211165427164907 0.409998107334579 0.575560943889535 1.33257111320976 1.59691248532192 1.1333167621782
chrI_162201_162926 0.0154925183633396 0.0443756589281874 0.235270558507705 0.406647072309982 0.576982970743851 1.99898828177644 1.88182976802918 2.16508981867517
