TFIIF10 TFIIF20 TFIIF25 TFIIF30 TFIIF40 TFIIF60 TFIIF90 TFIIF120
chrI_231_446 0.0366069052781868 0.0210522344250699 0.0349948950765666 0.227053342387287 1.35555555353555 1.24118179471049 4.45730510303516 2.08360663982292
chrI_11134_11439 0.00292729465882098 0.00695870006427609 0.0201577267908987 0.0923787007524737 1.2364860091825 2.53091992143125 2.44159083398696 3.01165527512166
chrI_30940_31662 0.00275083819287197 0.00698458758504859 0.0235489904271106 0.118784878079015 2.15904190400013 4.4331264785316 4.24741660773694 4.07744621320623
chrI_32955_33457 0.00458785224830266 0.0105390073593412 0.0244084426324796 0.152290849134111 1.59282466451112 2.53970539741512 4.7382327813574 3.55697557185151
chrI_34657_35232 0.00212122050818766 0.00700363763724758 0.0249674614947838 0.125432667737262 2.37672832238693 4.37028582301141 7.80259768140896 5.60968819326336
chrI_37292_37478 0.0032269689576603 0.0106239695637803 0.0216342242725739 0.115468749471018 1.08358075500723 2.23297769241329 2.52342528419835 3.43551786939805
chrI_39058_39308 0.00345504539699315 0.0102328473966206 0.033439566406497 0.152629964552967 1.46201193216556 2.29060944630397 3.00327493494944 3.35559574110484
chrI_44916_45299 0.00196253759559956 0.00661016881787248 0.0325789893298592 0.158628381197989 2.69370795561802 3.77523968324667 5.43724219704483 3.66721787260938
chrI_45602_45944 0.00327435489683693 0.00857682592690568 0.0244010652966235 0.111200430013778 1.93922009724205 3.48318742496214 3.81760362178138 3.9320262794276
chrI_57307_57528 0.00233236051247485 0.00950465848473915 0.0274204444533276 0.125541692220302 2.12979064402702 2.83517802560067 5.08674721991878 3.55582322173336
chrI_58375_58619 0.00580021232707562 0.00929039355236039 0.0368606171483721 0.143783022245683 2.67038375895001 3.19110537555981 8.16240058198937 4.31962316725712
chrI_61037_61336 0.00282730349846693 0.009813192939176 0.0151998029120441 0.113811196749511 1.5573874064753 2.63454353999701 6.54409094904172 3.52870692521307
chrI_62652_62870 0.00375162669666168 0.00886484664134155 0.0478081300967887 0.147401101069777 1.83081431877053 2.71356371529892 6.52364266172902 4.04919889232082
chrI_67690_68235 0.00130515510542634 0.0052618328303798 0.0216827159696306 0.113858237089098 2.73573599034868 4.56249207232876 7.24193761141687 6.54537679495705
chrI_69509_69720 0.00178364910867297 0.00967540085272848 0.0255801561202693 0.117162667556168 1.81704917121341 3.2332219371989 2.92946128832277 3.35564982732668
chrI_71400_71887 0.000717746762862004 0.00369118942524716 0.0172998995969176 0.0867238943984274 3.10055897681331 5.07604995000975 6.0142600534843 6.94318734572316
chrI_76122_76506 0.00112577659566748 0.00484292190550764 0.0251565726251242 0.0899774258707261 1.85583703807189 2.66989206187968 7.48209928192549 4.258906449667
chrI_81820_82201 0.00998864244982955 0.0225618675667251 0.0484262013508722 0.260241441015945 2.94314922392334 2.7968441220156 4.72484920321591 3.01533250988982
chrI_82497_82718 0.00349080918690297 0.00980009339912705 0.0149283778600433 0.115685261833791 1.50047918582706 2.60895724186327 3.23366216749209 3.73425855369353
chrI_84459_84611 0.00398477863826212 0.00886370615031837 0.024642964049564 0.0934988875911776 1.39716089503941 2.41158036498594 3.15802383426936 3.60287012056016
chrI_87023_87310 0.00265306008294015 0.0107690907975123 0.0263688169677401 0.1362260915582 1.13824214664183 2.36921591471827 3.61613659495536 2.98075490818473
chrI_108580_108785 0.00659379786303953 0.0095391276012816 0.0235741019097935 0.106084322783854 1.70633463402164 3.01606437584607 4.15922262706098 4.13784108866124
chrI_119738_119959 0.00335777916747112 0.00918260783942595 0.0237523382553113 0.137057493493434 1.19832692633703 2.39309913966502 3.78754375074373 2.85589732795988
chrI_124616_124879 0.0025917965981598 0.0068613136766081 0.0126528089105664 0.121900211948829 1.46245262659545 2.36066878014449 3.50688845400378 3.07988047552895
chrI_127991_128163 0.00305829377245806 0.00940549882772817 0.0126585109425225 0.146613702025601 1.30593733144577 2.53070805140173 3.19621976344745 3.02033824664009
chrI_128988_129306 0.00339298134896665 0.0101234933856358 0.0310153760913139 0.158435159491388 1.65401091440939 2.34273154646048 3.76380122403209 3.09227530998924
