TFIIE10 TFIIE20 TFIIE25 TFIIE30 TFIIE40 TFIIE60 TFIIE90 TFIIE120
chrI_8969_9501 0.00348269202671078 0.122601763705548 0.190068174429031 0.265320155991883 0.414367033705986 0.784568516413412 1.10142221111849 1.08062798116397
chrI_11040_11486 0.00465077797718588 0.111029919514476 0.137348708798973 0.176875549071038 0.312638743339931 0.454808902910499 1.03365015209415 1.01061977520952
chrI_23719_24123 0.0044234612200447 0.137527369180832 0.178297554097458 0.287978355291892 0.384383726493621 0.56941644309986 0.771474276631869 0.937326271231157
chrI_24686_25038 0.00245707813066119 0.140698482725937 0.197462348560713 0.355971313029889 0.629634673821503 1.02361325091386 1.02333780103961 1.44443250162304
chrI_29964_30267 0.00460700350169376 0.106959738687461 0.16246931482251 0.268540030388158 0.439308861886362 0.717245676380264 1.44383040066363 1.33546080392076
chrI_30677_31759 0.00309900477120793 0.11571836921197 0.143298597100015 0.248753162190655 0.42698405563382 0.662433731368059 1.25487209503692 1.30412735245094
chrI_32467_33479 0.00163838484631336 0.111516718234577 0.155594285108212 0.30226709577781 0.599224933081768 1.13425051104958 1.60479434808336 1.72111941632763
chrI_34311_35301 0.00200993952195782 0.114908812952028 0.178798467502025 0.361663113040676 0.629950279796057 1.19777466339276 2.24909080695512 2.24477204607509
chrI_36297_36673 0.00422861828535225 0.113792795014214 0.176494093579913 0.29663752199497 0.44348374921186 0.742825602191247 1.43167145948102 1.48437909500545
chrI_37223_37499 0.00369584411171569 0.109451252029291 0.155326418580259 0.261588288928155 0.451508066073253 0.735716508936735 1.06531854869626 0.972791521792085
chrI_39064_39357 0.002811996844681 0.105518094635018 0.167219106607606 0.337735159652988 0.5802150357192 0.958219153895071 1.11763407028876 1.80062295928286
chrI_42080_42226 0.00508621773732381 0.146919241714904 0.175085007815683 0.231852259602496 0.326027714937839 0.638519631671226 0.837050579976572 0.874820064744278
chrI_44978_45231 0.00221017773998522 0.109466361760507 0.141003022271237 0.258303860648004 0.528344374631201 0.89632013962401 1.41114046688945 1.3594167672994
chrI_45565_46019 0.00270829425281725 0.0998626271699977 0.139547136407644 0.225573422045528 0.415765715736215 0.601473052501814 1.2901913124614 1.20501285048488
chrI_48389_48641 0.00283862764897473 0.121926023417139 0.195278697689807 0.283376428912594 0.486040790352331 1.05605694915082 1.54532414764906 2.0289911046909
chrI_52586_52819 0.00264763479821122 0.126146928456662 0.183972629466669 0.345094490581721 0.524251032273944 0.769066007631292 1.15074137985129 1.03424247413737
chrI_54690_54958 0.00440954635859091 0.130197992051848 0.174773997993336 0.318427111491031 0.346014709734194 0.579022323463394 0.864145263365352 1.10943212637086
chrI_56808_56962 0.00283821124214351 0.0956102358478496 0.192313817077667 0.333277359142446 0.441321768413788 0.675903355382388 0.99786006519047 0.978211510884819
chrI_57265_57640 0.0021515372636382 0.109356655511823 0.175138614316983 0.353147484871205 0.626527284931576 1.02066313402163 1.24602860870783 1.3213714781584
chrI_58293_58639 0.00161429362207119 0.102317488438532 0.148490650861549 0.332332269749785 0.694110877361206 1.42773884312234 1.94327036606326 1.80584090315777
chrI_60957_61405 0.0017007268051325 0.109858969054846 0.174593237780502 0.330738765959871 0.723786468103711 1.43071024630909 2.02105744545934 2.23374291003939
chrI_62648_62921 0.00266833063499152 0.131027337941339 0.201528784672452 0.351090789072335 0.825006622571238 1.46723247329267 2.17099197328258 2.22767145015677
chrI_67580_68199 0.00213166383088458 0.0997986190344611 0.146767651464464 0.289150456360281 0.575196535616606 1.08962079956523 2.74214103241445 2.74992985000355
chrI_68609_68803 0.00169356930804424 0.127700297750191 0.163832988970973 0.348424434614262 0.860031352405684 1.56818230569115 2.35077824582688 2.04789338107234
chrI_69450_69717 0.00246331496691239 0.116714632405015 0.152626166987121 0.312652113894928 0.557703563745113 1.02282136678551 1.44598188101447 1.23184987137382
chrI_71355_72000 0.00269396059743823 0.109813982545555 0.145374303598141 0.273762280754624 0.507541320847321 0.88815503437603 3.07032077362459 3.02126773128901
chrI_76055_76618 0.00190002847766587 0.102596410093053 0.145453089624101 0.288817029739966 0.744087225282751 1.41759412881371 2.23327576155262 2.5194802443416
chrI_79565_79801 0.00363493117647151 0.116148063227689 0.198513692705663 0.304099451994502 0.526475372668758 0.826115389017057 1.18707856576272 1.07098058802702
chrI_81936_82097 0.00371167498781375 0.12030196138736 0.230098760889953 0.337032965102301 0.498862233454861 0.881276225137988 0.770925754557506 0.977216237545256
chrI_82357_82831 0.00260949501154034 0.11624191832028 0.186373333247774 0.323620082668464 0.558501061168158 0.941633962205818 1.23741578146641 1.52134383094468
chrI_84384_84638 0.00345615257611143 0.117322799207433 0.220146953677038 0.335917312153977 0.545319628334061 1.01020547619685 1.75646744703081 1.70322985901267
chrI_86965_87355 0.002083911987779 0.119813284122477 0.192985017043505 0.359311997915314 0.744955221957933 1.12396309268212 1.36352130674917 1.33157536463724
chrI_92231_92712 0.0044698476766202 0.110953891352905 0.161690867587725 0.24953981955868 0.419230882870196 0.622670975261445 1.30501915404675 1.04723893870837
chrI_94431_94718 0.00419086826442801 0.118026032769116 0.16969655284838 0.279125782478905 0.418023806222188 0.614683716382644 0.994802420049079 1.13038622805337
chrI_99713_99876 0.00399234532398674 0.142072261865315 0.293695623198855 0.3211981138358 0.713064687919429 1.28306775213457 1.21267464433963 1.22601895708222
chrI_101044_101386 0.00386841730395482 0.11513999474155 0.16140181601153 0.232334194020675 0.423875062590948 0.800572058826528 1.5322281802961 1.42858912285799
chrI_105852_106116 0.003801048214494 0.118395585904988 0.197581521930366 0.30454830028136 0.543081817398933 0.933847564029425 1.18062764880388 1.04147447115239
chrI_108469_108841 0.00237413697484996 0.0925182913325811 0.129389542610289 0.307659586444488 0.55266323856851 1.11358597506838 2.52068216863814 2.20338838974688
chrI_110328_110593 0.0024509821647065 0.0972205135042344 0.164086448307825 0.308145212516093 0.514341374124767 0.812092483400849 1.25557586996486 1.24084266665231
chrI_113293_113657 0.00136579194275015 0.110021085644211 0.180301640253044 0.31847039857685 0.808580666572156 1.57781420837917 1.66927443535404 2.09483803018086
chrI_114522_114906 0.00193417476130156 0.102340488348986 0.190364227721572 0.332833797288069 0.69971773900079 1.28856914202164 1.48788404144148 2.15476580228669
