TBP10 TBP20 TBP25 TBP30 TBP40 TBP60 TBP90 TBP120
chrI_11182_11339 0 0.0891308336822147 0.212224149777877 0.624141303860009 0.984815847234519 1.18281684139038 1.03926663801983 1.60738252848359
chrI_23633_23975 0 0.0646928955812658 0.173141014942346 0.687038059345149 1.19408088945986 1.14570869342906 0.790706730554479 1.20179130926133
chrI_29995_30147 0 0.069673303206298 0.212071573799323 0.692799469254919 0.99057500423589 1.18743389007464 1.32968692374631 1.3534791763008
chrI_30778_31402 0 0.0719730060286263 0.202364484816244 0.459948204010762 0.807194941019583 1.06341583596408 0.985011938660629 1.39005380251326
chrI_33203_33427 0 0.0681195818859919 0.214205163693818 0.366490427089297 0.538765778853897 0.696396272073382 0.772117284374298 0.955650843270333
chrI_34284_34500 0 0.106593684287521 0.292482762017249 0.378016689564387 0.828246139482151 0.751945553599675 1.82361615739363 0.799783422144363
chrI_34651_35258 0 0.0887668271350849 0.19916151037059 0.396083073303653 0.723118084614847 1.03363874314034 1.27852769225931 0.948658765995891
chrI_36313_36579 0 0.0813137217213229 0.257848227195147 0.598234112789457 1.12216728271221 1.44120714131177 1.29881067244327 1.39309561609791
chrI_37196_37401 0 0.0750185817625566 0.212573627446131 0.647833951245026 1.01752010578034 1.16140796275228 0.905677393315125 1.40244850590163
chrI_42663_43171 0 0.0979319366471826 0.2211424174766 0.457722952347242 0.745832298183998 0.657672829571148 0.914923486871505 0.818553519659162
chrI_43664_43889 0 0.111754414459549 0.233475128221353 0.400746239491493 0.386710962614612 0.556171526064396 0.733930970337222 0.637827514917535
chrI_44527_44709 0 0.124906356455215 0.191834567278665 0.232144659750337 0.318673354075887 0.392876979167582 1.01415173020525 0.481828091796576
chrI_44929_45285 0 0.0494098030694874 0.161060872680635 0.221360217961935 0.426053765262749 0.821514581127226 0.891957815423104 0.838595422846693
chrI_45603_45869 0 0.0729030903028749 0.203793044398881 0.418753339239568 0.932230457060832 1.08377507387191 0.91877300291209 1.31705439635023
chrI_58363_58701 0 0.103371981996278 0.235278590532297 0.408097785510011 0.719150480702175 0.956588285815085 1.20883012819495 0.804996535747281
chrI_61011_61359 0 0.0853391848477465 0.287376666718415 0.41064361097569 0.761488536848004 0.948275336646881 1.63930299047513 0.900258028153852
chrI_65394_65792 0 0.0715593318043891 0.204448435884378 0.605512094642911 0.923047883710953 1.13821076953832 0.85127798472067 1.43020693680579
chrI_66373_66616 0 0.0815261750646541 0.235091381468952 0.68569495126256 0.784613864741299 0.852914405603345 0.877983312266784 1.29416024544272
chrI_67743_68092 0 0.0724966260611413 0.236505631984246 0.440614703986854 0.983567191055695 1.6269146547071 1.21091516673917 1.29005866053208
